"FileName","Type","Path","Status","Notes","Critical"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\admin\audit\readiness\page.ts","Issues Found","../../../../../../app/admin/audit/readiness/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\admin\audit\page.ts","Issues Found","../../../../../app/admin/audit/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\admin\courses\inspect\page.ts","Issues Found","../../../../../../app/admin/courses/inspect/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\admin\courses\page.ts","Issues Found","../../../../../app/admin/courses/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\admin\dashboard\page.ts","Issues Found","../../../../../app/admin/dashboard/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\admin\integrity\page.ts","Issues Found","../../../../../app/admin/integrity/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\admin\student\[studentId]\page.ts","OK","","False"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\admin\student\page.ts","Issues Found","../../../../../app/admin/student/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\admin\page.ts","Issues Found","../../../../app/admin/page.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\admin\export-compliance\route.ts","Issues Found","../../../../../../app/api/admin/export-compliance/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\admin\export-friction\route.ts","Issues Found","../../../../../../app/api/admin/export-friction/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\admin\student\[studentId]\route.ts","OK","","False"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\admin\student\route.ts","Issues Found","../../../../../../app/api/admin/student/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\admin\route.ts","Issues Found","../../../../../app/api/admin/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\analytics\friction\route.ts","Issues Found","../../../../../../app/api/analytics/friction/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\analytics\route.ts","Issues Found","../../../../../app/api/analytics/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\analyze-assessment\route.ts","Issues Found","../../../../../app/api/analyze-assessment/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\analyze-handwriting\route.ts","Issues Found","../../../../../app/api/analyze-handwriting/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\assessment\analyze\route.ts","Issues Found","../../../../../../app/api/assessment/analyze/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\assessment\route.ts","Issues Found","../../../../../app/api/assessment/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\auth\login\route.ts","Issues Found","../../../../../../app/api/auth/login/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\auth\register\route.ts","Issues Found","../../../../../../app/api/auth/register/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\auth\route.ts","Issues Found","../../../../../app/api/auth/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\bulk-inflate\route.ts","Issues Found","../../../../../app/api/bulk-inflate/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\courses\[courseId]\[entity1]\analytics\route.ts","OK","","False"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\courses\[courseId]\[entity1]\capture\route.ts","OK","","False"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\courses\[courseId]\[entity1]\route.ts","OK","","False"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\courses\[courseId]\route.ts","OK","","False"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\courses\route.ts","Issues Found","../../../../../app/api/courses/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\dashboard-metrics\route.ts","Issues Found","../../../../../app/api/dashboard-metrics/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\debug\final-audit\route.ts","Issues Found","../../../../../../app/api/debug/final-audit/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\debug\full-audit\route.ts","Issues Found","../../../../../../app/api/debug/full-audit/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\debug\health-check\route.ts","Issues Found","../../../../../../app/api/debug/health-check/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\debug\route.ts","Issues Found","../../../../../app/api/debug/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\enrollments\route.ts","Issues Found","../../../../../app/api/enrollments/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\friction-data\route.ts","Issues Found","../../../../../app/api/friction-data/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\health\route.ts","Issues Found","../../../../../app/api/health/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\inflate-questions\route.ts","Issues Found","../../../../../app/api/inflate-questions/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\ingest\route.ts","Issues Found","../../../../../app/api/ingest/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\instructor\friction-details\route.ts","Issues Found","../../../../../../app/api/instructor/friction-details/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\instructor\route.ts","Issues Found","../../../../../app/api/instructor/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\modules\route.ts","Issues Found","../../../../../app/api/modules/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\b2b\employees\route.ts","Issues Found","../../../../../../../app/api/payments/b2b/employees/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\b2b\route.ts","Issues Found","../../../../../../app/api/payments/b2b/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\student\route.ts","Issues Found","../../../../../../app/api/payments/student/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\route.ts","Issues Found","../../../../../app/api/payments/route.js","True"
